STATE/UT,CODE,LATITUDE,LONGITUDE,PER CAPITA INCOME (INR) ,POPULATION,AVERAGE TEMPERATURE (°C),1/30/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021
Andaman and Nicobar Islands,an,11.7401,92.6586,"159,664","419,978",29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,7,8,10,12,14,16,19,20,20,20,21,21,22,24,24,28,29,30,30,31,32,32,33,35,37,41,42,42,44,45,46,46,47,48,49,50,50,50,50,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,54,54,54,55,55,55,55,55,55,55,55,56,56,56,56,56,56,57,58,58,58,58,58,58,59,59,59,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62
Andhra Pradesh,ap,15.9129,79.74,"151,173","52,883,163",31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,6,6,6,7,7,11,14,14,14,16,17,20,22,24,27,29,31,31,31,31,31,31,33,33,33,33,34,36,38,41,44,45,45,46,47,48,48,49,50,50,52,53,54,55,56,56,56,57,58,59,60,60,62,64,64,68,71,73,73,75,75,77,78,80,80,82,84,86,88,90,92,96,101,106,111,119,129,136,146,157,169,180,187,193,198,206,218,232,239,252,264,277,292,309,328,365,408,452,492,534,586,642,696,758,823,884,933,985,1041,1090,1148,1213,1281,1349,1407,1474,1537,1604,1681,1753,1842,1939,2036,2116,2203,2296,2378,2475,2562,2650,2732,2820,2906,3001,3092,3189,3282,3368,3460,3541,3633,3714,3796,3884,3969,4053,4125,4200,4276,4347,4417,4487,4560,4634,4702,4779,4846,4912,4972,5041,5105,5177,5244,5302,5359,5410,5461,5506,5558,5606,5663,5708,5745,5780,5828,5869,5900,5941,5981,6019,6052,6086,6128,6159,6194,6224,6256,6291,6319,6357,6382,6406,6429,6453,6481,6508,6524,6544,6566,6587,6606,6625,6643,6659,6676,6690,6706,6719,6734,6744,6757,6768,6779,6791,6802,6814,6828,6837,6847,6854,6868,6881,6890,6899,6910,6920,6927,6938,6948,6956,6962,6970,6976,6981,6988,6992,6996,7003,7014,7020,7024,7033,7038,7042,7045,7047,7049,7052,7057,7059,7064,7067,7069,7070,7074,7076,7078,7082,7085,7089,7091,7092,7094,7098,7100,7104,7108,7108,7111
Arunachal Pradesh,ar,28.218,94.7278,"139,588","1,528,296",22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,8,8,8,8,8,9,9,9,10,10,10,11,13,13,13,13,13,13,13,14,14,14,14,14,14,15,16,16,16,18,18,18,19,20,21,22,23,23,24,24,28,29,30,30,30,30,30,31,31,32,33,33,33,35,36,36,37,37,37,37,38,42,43,43,43,45,46,46,46,46,47,47,48,48,48,48,48,49,49,49,49,49,49,49,49,50,51,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56
Assam,as,26.2006,92.9376,"82,078","34,586,234",23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,10,10,11,11,13,13,13,13,13,15,21,26,34,36,40,44,50,52,54,55,57,61,62,68,70,74,80,81,83,90,92,96,98,102,105,109,113,119,125,130,136,144,149,155,159,165,173,179,186,193,201,207,217,225,231,238,246,256,264,278,282,290,293,300,310,319,327,334,349,356,364,374,382,400,418,434,457,473,486,496,515,532,544,552,566,582,590,601,612,629,642,659,671,684,701,715,725,739,753,764,782,789,798,806,815,820,830,834,838,847,857,869,872,879,888,893,900,904,906,910,912,918,921,927,930,934,935,936,938,938,938,942,944,948,952,957,959,962,963,966,968,969,971,974,974,976,978,979,980,981,983,983,985,985,986,986,986,988,990,992,994,998,1000,1002,1003,1004,1005,1005,1007,1008,1009,1012,1015,1016,1017,1022,1025,1029,1034,1038,1038,1040,1042,1043,1045,1048,1050,1054,1056
Bihar,br,25.0961,85.3131,"43,822","119,461,013",26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,9,9,9,9,11,11,11,13,14,15,15,15,21,23,23,24,25,28,29,29,30,31,33,34,34,35,35,36,38,39,39,44,49,49,51,52,54,55,56,56,58,62,63,68,73,78,84,88,90,97,98,100,109,111,118,125,134,143,157,167,173,177,179,187,198,208,212,221,232,249,255,269,273,285,298,312,322,336,349,369,388,400,419,429,450,465,474,484,500,515,537,542,558,568,574,588,601,610,627,644,653,662,674,679,688,694,709,722,728,741,750,754,761,765,775,785,797,808,822,831,836,848,855,859,861,864,870,873,874,878,881,886,888,892,894,904,906,910,912,915,924,925,927,929,934,944,946,955,961,967,972,981,990,996,1003,1011,1019,1026,1034,1042,1049,1058,1065,1069,1076,1084,1090,1097,1101,1108,1113,1121,1129,1136,1144,1151,1156,1162,1167,1174,1179,1184,1189,1194,1201,1209,1212,1216,1221,1227,1233,1237,1243,1248,1253,1259,1264,1268,1274,1281,1287,1292,1295,1297,1300,1303,1307,1312,1317,1321,1325,1329,1332,1337,1341,1347,1352,1358,1362,1367,1371,1373,1379,1383,1386,1389,1393,1397,1400,1403
Chandigarh,ch,30.7333,76.7794,"329,209","1,126,705",24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,10,11,11,11,12,12,12,12,13,13,13,13,13,14,14,14,14,15,18,19,19,20,20,20,23,24,25,25,26,27,28,28,28,29,30,30,31,31,33,33,37,37,40,41,43,45,45,52,56,57,59,63,68,69,71,74,75,77,80,83,89,90,95,96,101,106,110,116,120,123,127,137,144,145,145,147,153,158,162,164,169,172,174,177,180,182,186,188,190,191,192,197,199,201,206,207,208,208,209,209,212,214,216,218,222,223,224,225,225,226,226,227,228,229,229,230,232,234,237,241,243,244,246,246,248,250,252,253,254,255,258,260,263,265,266,270,270,274,276,277,278,281,284,287,289,291,293,296,297,298,299,300,301,302,304,304,304,305,306,308,310,312,313,314,314,315,315,316,316,316,317,318,319
Chhattisgarh,ct,21.2787,81.8661,"96,887","28,566,990",26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,4,4,4,5,6,6,6,6,9,9,9,9,9,10,11,11,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,15,17,17,19,19,20,20,21,24,24,24,28,29,29,34,36,39,43,45,46,50,51,54,55,58,61,69,71,77,87,90,96,99,104,109,117,130,134,142,150,158,164,172,180,190,197,206,221,231,245,251,262,269,277,287,299,315,337,356,380,395,407,477,493,518,539,555,573,588,611,628,645,664,677,690,718,728,752,777,817,848,877,916,957,986,1002,1031,1045,1081,1104,1134,1158,1196,1235,1253,1286,1306,1339,1385,1425,1439,1478,1534,1584,1628,1680,1738,1793,1818,1861,1881,1936,1989,2038,2101,2150,2208,2266,2316,2360,2412,2434,2447,2464,2482,2507,2527,2545,2562,2578,2604,2623,2646,2672,2691,2713,2732,2746,2767,2783,2801,2813,2830,2840,2861,2892,2919,2941,2956,2977,2989,3010,3025,3038,3054,3068,3084,3097,3116,3135,3145,3156,3163,3172,3181,3199,3212,3227,3249,3263,3275,3293,3319,3336,3350,3371,3375,3386
Dadra and Nagar Haveli,dn,20.1809,73.0169,unavailable,"343,709",26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Daman and Diu,dd,20.4283,72.8397,unavailable,"243,247",26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,dl,28.7041,77.1025,"365,529","18,345,784",24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,6,6,7,7,9,9,12,14,19,24,28,30,32,38,42,43,45,47,47,48,50,53,54,54,54,54,56,59,61,64,64,64,64,65,66,68,68,73,73,86,106,115,123,129,148,160,166,176,194,208,231,261,276,288,303,316,398,416,473,523,556,615,659,708,761,812,874,905,984,1085,1214,1271,1327,1400,1837,1904,1969,2035,2112,2175,2233,2301,2365,2429,2492,2558,2623,2680,2742,2803,2864,2923,3004,3067,3115,3165,3213,3258,3300,3334,3371,3411,3446,3487,3545,3571,3597,3628,3663,3690,3719,3745,3777,3806,3827,3853,3881,3907,3936,3963,3989,4004,4021,4033,4044,4059,4082,4098,4111,4131,4139,4153,4167,4178,4188,4196,4214,4226,4235,4257,4270,4284,4300,4313,4330,4347,4369,4389,4404,4426,4444,4462,4481,4500,4513,4538,4567,4599,4618,4638,4666,4687,4715,4744,4770,4806,4839,4877,4907,4945,4982,5014,5051,5087,5123,5147,5193,5235,5272,5320,5361,5401,5438,5472,5510,5542,5581,5616,5653,5692,5740,5769,5809,5854,5898,5924,5946,5981,6009,6040,6081,6128,6163,6189,6225,6258,6312,6356,6396,6423,6470,6511,6562,6604,6652,6703,6769,6833,6912,6989,7060,7143,7228,7332,7423,7519,7614,7713,7812,7943,8041,8159,8270,8391,8512,8621,8720,8811,8909,8998,9066,9174,9260,9342,9424,9497,9574,9643,9706,9763,9813,9874,9934,9981,10014,10074,10115,10147,10182,10219,10251,10277,10304,10329,10347,10384,10414,10437,10453,10474,10502,10523,10536,10557,10571
